tipo_avion,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
T01,976,404,816,958,443,365,823,710,892,415,860,457,431,431,873,772,675,564,916,586,875,618,576,634,524,828,661,477,931,581,689,936,744,399,959,746,547,414,859,741
T02,1098,455,919,1077,498,410,926,799,1003,466,968,514,485,485,983,868,760,634,1031,660,984,695,648,713,590,931,744,537,1048,653,775,1053,837,449,1078,840,616,466,967,834
T03,1220,505,1021,1197,554,456,1029,888,1115,518,1075,571,539,539,1092,965,844,705,1145,733,1094,773,720,793,656,1035,827,597,1164,726,862,1170,930,499,1198,933,684,518,1074,927
T04,1342,556,1123,1317,609,502,1132,977,1227,570,1183,628,593,593,1201,1061,929,775,1260,806,1203,850,792,872,721,1139,910,657,1281,798,948,1287,1023,549,1318,1026,753,570,1182,1019
T05,1464,606,1225,1437,664,547,1235,1065,1338,622,1291,685,646,647,1310,1158,1013,846,1374,880,1312,927,864,951,787,1242,992,716,1397,871,1034,1404,1116,599,1438,1120,821,622,1289,1112
T06,1586,657,1327,1556,720,593,1338,1154,1450,674,1398,742,700,701,1420,1255,1097,916,1489,953,1422,1005,936,1031,853,1346,1075,776,1514,944,1120,1521,1209,649,1558,1213,890,673,1397,1205
T07,1708,707,1429,1676,775,639,1441,1243,1561,726,1506,799,754,755,1529,1351,1182,987,1603,1027,1531,1082,1008,1110,918,1449,1158,836,1630,1016,1206,1638,1302,699,1678,1306,958,725,1504,1297
T08,1830,758,1531,1796,831,684,1544,1332,1673,778,1613,857,808,809,1638,1448,1266,1057,1718,1100,1641,1159,1080,1189,984,1553,1240,896,1746,1089,1293,1755,1395,749,1798,1400,1027,777,1612,1390
T09,1952,809,1633,1916,886,730,1647,1421,1784,830,1721,914,862,863,1747,1544,1351,1128,1832,1173,1750,1237,1152,1269,1049,1656,1323,955,1863,1162,1379,1872,1488,798,1918,1493,1095,829,1719,1483
T10,2074,859,1736,2035,941,776,1750,1510,1896,881,1829,971,916,917,1857,1641,1435,1198,1947,1247,1859,1314,1224,1348,1115,1760,1406,1015,1979,1234,1465,1989,1582,848,2038,1587,1163,881,1827,1576
T11,2196,910,1838,2155,997,821,1853,1598,2007,933,1936,1028,970,971,1966,1737,1520,1269,2062,1320,1969,1391,1296,1427,1181,1863,1489,1075,2096,1307,1551,2106,1675,898,2157,1680,1232,933,1934,1668
T12,2318,960,1940,2275,1052,867,1956,1687,2119,985,2044,1085,1024,1025,2075,1834,1604,1339,2176,1393,2078,1469,1368,1507,1246,1967,1571,1135,2212,1379,1637,2223,1768,948,2277,1773,1300,984,2042,1761
T13,2440,1011,2042,2395,1108,913,2059,1776,2231,1037,2151,1142,1078,1079,2184,1930,1689,1410,2291,1467,2188,1546,1440,1586,1312,2070,1654,1194,2329,1452,1724,2341,1861,998,2397,1867,1369,1036,2149,1854
T14,2562,1061,2144,2514,1163,958,2162,1865,2342,1089,2259,1199,1132,1133,2294,2027,1773,1480,2405,1540,2297,1623,1512,1665,1377,2174,1737,1254,2445,1525,1810,2458,1954,1048,2517,1960,1437,1088,2257,1946
