ciudad,Quito,Guayaquil,Cuenca,Ambato,Riobamba,Latacunga,Ibarra,Tulcan,Loja,Machala,Esmeraldas,Portoviejo
Quito,0.0,266.01,301.74,113.84,160.11,78.73,78.59,146.46,425.26,372.43,182.18,233.44
Guayaquil,266.01,0.0,130.15,177.68,151.77,200.27,344.59,412.41,217.74,120.94,349.36,137.53
Cuenca,301.74,130.15,0.0,188.61,142.94,223.15,374.69,436.84,123.51,112.69,435.1,260.84
Ambato,113.84,177.68,188.61,0.0,46.27,35.29,186.3,249.99,312.02,268.37,271.19,205.5
Riobamba,160.11,151.77,142.94,46.27,0.0,81.49,231.77,294.26,266.13,228.74,312.0,211.27
Latacunga,78.73,200.27,223.15,35.29,81.49,0.0,152.87,218.02,346.65,298.49,239.79,205.01
Ibarra,78.59,344.59,374.69,186.3,231.77,152.87,0.0,68.13,497.85,450.14,183.01,302.86
Tulcan,146.46,412.41,436.84,249.99,294.26,218.02,68.13,0.0,559.19,516.38,215.76,368.41
Loja,425.26,217.74,123.51,312.02,266.13,346.65,497.85,559.19,0.0,116.74,552.91,355.05
Machala,372.43,120.94,112.69,268.37,228.74,298.49,450.14,516.38,116.74,0.0,470.15,251.22
Esmeraldas,182.18,349.36,435.1,271.19,312.0,239.79,183.01,215.76,552.91,470.15,0.0,241.07
Portoviejo,233.44,137.53,260.84,205.5,211.27,205.01,302.86,368.41,355.05,251.22,241.07,0.0
