ciudad,Quito,Guayaquil,Cuenca,Ambato,Riobamba,Latacunga,Ibarra,Tulcan,Loja,Machala,Esmeraldas,Portoviejo,Babahoyo,Azogues,Guaranda,Macas,Zamora,Tena,Puyo,Nueva Loja,Francisco Orellana,Santa Elena,Lago Agrio,Alausi
Quito,0.0,266.01,301.74,113.84,160.11,78.73,78.59,146.46,425.26,372.43,182.18,233.44,207.72,281.36,160.7,235.47,429.47,115.98,152.17,184.84,172.24,341.6,186.54,221.64
Guayaquil,266.01,0.0,130.15,177.68,151.77,200.27,344.59,412.41,217.74,120.94,349.36,137.53,59.61,135.15,120.94,201.5,236.74,268.47,226.88,420.04,377.15,104.27,421.63,119.82
Cuenca,301.74,130.15,0.0,188.61,142.94,223.15,374.69,436.84,123.51,112.69,435.1,260.84,135.54,25.13,145.2,119.02,129.98,250.0,192.52,406.7,351.64,219.06,408.02,80.22
Ambato,113.84,177.68,188.61,0.0,46.27,35.29,186.3,249.99,312.02,268.37,271.19,205.5,119.02,167.66,57.32,130.23,315.67,93.67,73.99,242.46,200.73,271.91,244.04,108.39
Riobamba,160.11,151.77,142.94,46.27,0.0,81.49,231.77,294.26,266.13,228.74,312.0,211.27,98.93,121.51,39.12,93.43,269.42,119.53,75.51,276.07,228.1,252.88,277.56,62.95
Latacunga,78.73,200.27,223.15,35.29,81.49,0.0,152.87,218.02,346.65,298.49,239.79,205.01,140.66,202.63,85.19,162.75,350.76,89.33,92.76,222.46,187.84,288.02,224.11,142.98
Ibarra,78.59,344.59,374.69,186.3,231.77,152.87,0.0,68.13,497.85,450.14,183.01,302.86,286.27,353.01,237.36,295.64,500.05,153.44,205.53,139.95,154.71,418.07,141.46,294.55
Tulcan,146.46,412.41,436.84,249.99,294.26,218.02,68.13,0.0,559.19,516.38,215.76,368.41,353.84,414.29,303.13,349.53,559.68,200.94,258.04,122.16,162.74,485.95,123.11,357.2
Loja,425.26,217.74,123.51,312.02,266.13,346.65,497.85,559.19,0.0,116.74,552.91,355.05,246.45,144.96,267.7,223.16,28.96,367.58,308.69,521.21,463.31,268.97,522.41,203.68
Machala,372.43,120.94,112.69,268.37,228.74,298.49,450.14,516.38,116.74,0.0,470.15,251.22,168.62,135.93,213.31,230.24,143.02,346.47,293.04,504.11,452.95,152.41,505.55,170.74
Esmeraldas,182.18,349.36,435.1,271.19,312.0,239.79,183.01,215.76,552.91,470.15,0.0,241.07,307.23,420.86,293.05,401.42,564.34,298.16,328.88,321.88,335.2,378.83,323.31,362.24
Portoviejo,233.44,137.53,260.84,205.5,211.27,205.01,302.86,368.41,355.05,251.22,241.07,0.0,131.81,258.88,172.54,295.1,374.24,293.7,277.52,415.93,390.58,137.86,417.63,219.49
Babahoyo,207.72,59.61,135.54,119.02,98.93,140.66,286.27,353.84,246.45,168.62,307.23,131.81,0.0,129.24,63.69,167.51,260.13,211.26,174.23,360.95,319.45,154.67,362.55,88.36
Azogues,281.36,135.15,25.13,167.66,121.51,202.63,353.01,414.29,144.96,135.93,420.86,258.88,129.24,0.0,128.43,94.55,148.22,225.54,167.74,381.92,326.61,230.69,383.22,60.3
Guaranda,160.7,120.94,145.2,57.32,39.12,85.19,237.36,303.13,267.7,213.31,293.05,172.54,63.69,128.43,0.0,126.37,275.1,147.79,112.01,299.65,256.29,218.29,301.22,69.19
Macas,235.47,201.5,119.02,130.23,93.43,162.75,295.64,349.53,223.16,230.24,401.42,295.1,167.51,94.55,126.37,0.0,216.88,149.84,91.5,298.7,240.19,305.14,299.84,82.07
Zamora,429.47,236.74,129.98,315.67,269.42,350.76,500.05,559.68,28.96,143.02,564.34,374.24,260.13,148.22,275.1,216.88,0.0,364.58,305.46,515.53,456.48,294.37,516.66,208.4
Tena,115.98,268.47,250.0,93.67,119.53,89.33,153.44,200.94,367.58,346.47,298.16,293.7,211.26,225.54,147.79,149.84,364.58,0.0,59.12,157.77,108.85,365.21,159.18,176.16
Puyo,152.17,226.88,192.52,73.99,75.51,92.76,205.53,258.04,308.69,293.04,328.88,277.52,174.23,167.74,112.01,91.5,305.46,59.12,0.0,214.19,160.12,328.38,215.5,122.48
Nueva Loja,184.84,420.04,406.7,242.46,276.07,222.46,139.95,122.16,521.21,504.11,321.88,415.93,360.95,381.92,299.65,298.7,515.53,157.77,214.19,0.0,61.73,510.48,1.7,333.93
Francisco Orellana,172.24,377.15,351.64,200.73,228.1,187.84,154.71,162.74,463.31,452.95,335.2,390.58,319.45,326.61,256.29,240.19,456.48,108.85,160.12,61.73,0.0,472.55,62.49,282.22
Santa Elena,341.6,104.27,219.06,271.91,252.88,288.02,418.07,485.95,268.97,152.41,378.83,137.86,154.67,230.69,218.29,305.14,294.37,365.21,328.38,510.48,472.55,0.0,512.13,223.89
Lago Agrio,186.54,421.63,408.02,244.04,277.56,224.11,141.46,123.11,522.41,505.55,323.31,417.63,362.55,383.22,301.22,299.84,516.66,159.18,215.5,1.7,62.49,512.13,0.0,335.34
Alausi,221.64,119.82,80.22,108.39,62.95,142.98,294.55,357.2,203.68,170.74,362.24,219.49,88.36,60.3,69.19,82.07,208.4,176.16,122.48,333.93,282.22,223.89,335.34,0.0
