Age,Income,EducationLevel,HasPartner,TotalChildren,TotalSpend,TotalPurchases,MntWines,MntMeatProducts,MntGoldProds,NumWebVisitsMonth,NumDealsPurchases,CustomerDays,Recency,PrevCampaignsAccepted,Complain,Response
67,58138.0,2,0,0,1617,22,635,546,88,7,3,4136,58,0,0,1
70,46344.0,2,0,2,27,4,11,6,6,5,2,3586,38,0,0,0
59,71613.0,2,1,0,776,20,426,127,42,4,1,3785,26,0,0,0
40,26646.0,2,1,1,53,6,11,20,5,6,2,3612,26,0,0,0
43,58293.0,4,1,1,422,14,173,118,15,5,5,3634,94,0,0,0
57,62513.0,3,1,1,716,20,520,98,14,6,2,3766,16,0,0,0
53,55635.0,2,0,1,590,17,235,164,27,6,4,4066,34,0,0,0
39,33454.0,4,1,1,169,8,76,56,23,8,2,3890,32,0,0,0
50,30351.0,4,1,1,46,5,14,24,2,9,1,3861,19,0,0,1
74,5648.0,4,1,2,49,1,28,6,13,20,1,3581,68,1,0,0
41,51373.0,2,1,1,19,3,5,6,1,7,1,3699,11,0,0,0
48,7500.0,0,1,0,61,5,6,11,16,8,1,4066,59,0,0,0
65,63033.0,2,0,0,1102,15,194,480,30,2,1,3699,82,0,0,0
72,59354.0,3,0,2,310,12,233,53,14,6,3,3699,53,0,0,0
37,17323.0,2,1,0,46,4,3,17,5,8,1,4100,38,0,0,0
78,82800.0,4,0,0,1315,25,1006,115,45,3,1,4055,23,2,0,1
44,41850.0,2,1,2,96,6,53,19,4,8,3,4025,51,0,0,0
78,37760.0,2,1,0,317,11,84,38,28,7,2,4140,20,0,0,0
75,76995.0,3,1,1,1782,24,1012,498,176,5,2,3931,91,1,0,0
39,33812.0,1,0,1,133,6,4,19,39,6,2,4076,86,0,0,0
42,37040.0,2,1,0,316,11,86,73,48,8,1,4163,41,0,0,0
45,2447.0,2,1,1,1730,28,1,1725,1,1,15,4012,42,0,0,0
75,58607.0,4,1,1,972,14,867,86,19,8,3,4026,63,1,0,0
70,65324.0,4,1,1,544,17,384,102,5,4,3,3642,0,0,0,0
73,40689.0,2,1,1,444,13,270,27,99,8,7,3941,69,0,0,0
55,18589.0,2,0,0,75,6,6,25,13,7,2,4016,89,0,0,0
48,53359.0,2,1,2,257,10,173,30,41,7,4,3871,4,0,0,0
38,51373.0,2,0,1,637,27,5,3,362,1,0,3967,19,0,0,0
35,38360.0,2,1,1,131,7,36,42,10,3,2,3867,26,0,0,0
59,84618.0,4,1,0,1672,25,684,801,0,2,1,3692,96,1,0,0
35,10979.0,3,0,0,30,6,8,10,4,5,2,3511,34,0,0,0
61,38620.0,3,1,0,318,10,112,44,89,3,1,3887,56,0,0,0
54,40548.0,2,1,1,120,7,110,5,3,5,2,4100,31,1,0,0
72,46610.0,4,0,2,302,11,96,96,43,6,6,4081,8,0,0,1
78,68657.0,3,1,0,1196,17,482,471,22,7,1,3967,4,0,0,0
73,49389.0,3,0,2,65,5,40,19,3,7,1,3777,55,0,0,0
54,67353.0,4,1,1,913,23,702,151,35,2,5,3653,37,0,0,0
48,23718.0,1,1,1,81,6,6,14,36,7,3,3773,76,0,0,0
51,42429.0,2,0,1,67,5,55,6,4,5,2,3611,99,0,0,0
81,48948.0,4,0,0,902,22,437,206,42,6,2,3986,53,1,0,1
44,80011.0,2,1,1,1395,19,421,536,102,4,2,3899,3,0,0,0
39,20559.0,3,1,1,53,5,13,29,7,8,2,3947,88,0,0,0
67,21994.0,2,1,1,22,3,9,6,3,5,1,4025,4,0,0,0
65,51373.0,4,0,0,186,8,81,50,39,2,1,3709,80,0,0,0
49,7500.0,3,1,1,31,5,3,10,12,5,3,3743,19,0,0,0
48,79941.0,2,0,0,984,15,123,266,174,1,1,3474,72,0,0,0
28,7500.0,1,1,0,122,7,3,14,50,9,3,4070,24,0,0,1
56,41728.0,2,1,1,55,4,13,15,13,10,1,3874,92,0,0,0
73,51373.0,2,0,3,124,7,48,48,7,6,3,3652,96,0,0,0
70,72550.0,4,1,2,1319,19,826,317,38,8,9,4071,39,0,0,0
67,65486.0,2,0,1,507,16,245,125,14,2,1,3521,29,0,0,0
60,79143.0,3,1,0,1693,28,650,780,32,3,1,4160,2,0,0,0
47,35790.0,2,0,1,72,5,12,20,3,7,2,4016,54,0,0,0
47,82582.0,2,0,0,1617,20,510,550,241,1,1,3495,54,2,0,1
46,66373.0,2,1,2,606,16,328,124,109,3,7,3855,57,0,0,0
69,82384.0,3,1,0,1957,26,984,432,190,1,1,4060,55,1,0,1
58,70287.0,2,0,0,1093,20,295,482,40,3,1,3926,30,0,0,1
36,27938.0,2,0,1,29,5,13,8,5,3,1,3535,31,0,0,0
42,51373.0,2,0,1,46,5,11,22,6,6,2,3850,57,0,0,0
56,55954.0,4,1,1,518,16,447,28,43,7,3,3591,63,0,0,0
42,75777.0,3,0,0,1438,20,712,538,80,1,1,3833,12,2,0,1
49,66653.0,2,1,2,612,18,452,102,6,3,4,4133,18,0,0,0
72,61823.0,2,0,1,884,20,523,134,169,7,4,3969,26,0,0,0
73,67680.0,4,0,1,606,18,546,48,6,5,1,3856,8,0,0,0
