id_estudiante,periodo_ingreso,carrera,provincia,zona_residencia,sexo,edad,estado_civil,tipo_colegio,financiamiento,modalidad,semestre_actual,promedio_bachillerato,nota_primer_ciclo,creditos_reprobados,num_materias_matriculadas,asistencia_pct,horas_trabajo_semana,distancia_universidad_km,num_hermanos,ingreso_familiar_usd,uso_tutoria,indice_satisfaccion,desercion_semestre,fecha_ultimo_pago,motivo_retiro,semestre_desercion
EST-2020-0000,2022-S2,Administración de Empresas,Guayas,Urbana,F,22,Soltero/a,Fiscomisional,Beca parcial,Presencial,4,7.61,7.63,1,4,62.6,22.0,9.4,2,1144.0,3,6.4,0,,,
EST-2021-0001,2022-S1,Contabilidad,Azuay,Urbana,M,27,Casado/a,Fiscal,Recursos propios,Presencial,2,7.1,4.64,0,7,39.6,40.0,9.6,0,1302.0,0,6.5,1,2024-06-06,Laboral,2.0
EST-2022-0002,2022-S2,Medicina,Guayas,Urbana,F,22,Soltero/a,Particular,Recursos propios,Presencial,5,6.65,7.38,1,5,74.9,0.0,21.1,2,1053.0,0,6.9,0,,,
EST-2023-0003,2023-S2,Ingeniería Civil,Guayas,Rural,M,27,Soltero/a,Fiscal,Recursos propios,Presencial,1,6.68,6.8,0,6,78.7,37.0,,2,797.0,2,5.4,1,2024-04-04,Laboral,2.0
EST-2024-0004,2022-S2,Psicología,Azuay,Urbana,M,27,Soltero/a,Fiscal,Beca parcial,Semi-presencial,5,7.42,8.31,1,7,66.9,28.0,75.4,1,256.0,2,7.8,0,,,
EST-2025-0005,2022-S2,Psicología,Guayas,Urbana,M,27,Casado/a,Particular,Beca completa,Presencial,2,7.91,6.82,1,4,77.7,0.0,13.2,0,582.0,0,9.5,0,,,
EST-2020-0006,2023-S2,Psicología,Azuay,Rural,M,21,Soltero/a,Particular,Beca parcial,Semi-presencial,4,7.67,9.6,0,4,60.4,0.0,26.5,0,383.0,0,7.7,0,,,
EST-2021-0007,2023-S2,Ciencia de Datos,Loja,Rural,M,23,Soltero/a,Particular,Beca parcial,Presencial,2,7.96,7.0,2,4,86.8,0.0,13.4,3,433.0,4,6.5,0,,,
EST-2022-0008,2022-S2,Ciencia de Datos,Guayas,Urbana,F,27,Casado/a,Particular,Recursos propios,Presencial,1,4.79,5.48,1,8,69.8,0.0,33.7,3,1087.0,1,6.5,1,2024-08-19,Economico,2.0
EST-2023-0009,2022-S1,Derecho,Loja,Rural,F,21,Union libre,Fiscal,Recursos propios,Semi-presencial,3,9.52,4.71,3,7,44.4,44.0,,0,1776.0,1,6.9,1,2024-04-12,Personal,4.0
EST-2024-0010,2022-S2,Arquitectura,Manabí,Urbana,M,18,Soltero/a,Fiscal,Beca parcial,Semi-presencial,4,8.91,6.09,0,8,77.9,26.0,9.0,7,1218.0,0,2.7,1,2024-02-12,Academico,5.0
EST-2025-0011,2022-S1,Psicología,Guayas,Rural,F,24,Soltero/a,Fiscal,Recursos propios,Semi-presencial,2,8.86,8.43,0,6,63.8,0.0,4.2,3,1277.0,3,10.0,0,,,
EST-2020-0012,2023-S2,Ciencia de Datos,Imbabura,Rural,M,26,Soltero/a,Particular,Recursos propios,Presencial,6,8.09,,1,6,73.3,31.0,2.5,0,821.0,3,10.0,0,,,
