canal_ingreso,tipo_tarjeta,pais_transaccion,categoria_comercio,edad_cliente,antiguedad_meses,saldo_promedio_usd,monto_usd,hora_transaccion,num_transacciones_24h,num_transacciones_7d,distancia_comercio_km,score_velocidad,ratio_monto_promedio,es_fraude,mes_transaccion,anio_transaccion
Banca_en_linea,Credito_gold,Ecuador,Electronica,54,125,1761.77,25.14,5,13,43,22.4,27.4,0.256,0,7,2023
App_movil,Credito_gold,Ecuador,Supermercado,19,118,3610.04,27.34,0,6,21,,99.0,0.144,0,4,2023
Banca_en_linea,Debito,Ecuador,Viaje,58,80,2615.31,211.85,21,3,3,2.7,67.7,,0,11,2023
Cajero_ATM,Credito_gold,Mexico,Transferencia,28,94,4262.34,100.13,1,7,31,3.1,90.1,0.449,0,8,2023
POS,Debito,Ecuador,Viaje,41,65,1613.23,234.13,23,3,27,4.1,77.5,,0,5,2023
App_movil,Credito_gold,Ecuador,Farmacia,23,88,4052.21,210.71,10,9,46,1.1,54.0,,0,7,2023
App_movil,Credito_gold,Ecuador,Transferencia,43,88,1751.87,144.18,2,3,27,11.9,14.9,1.477,0,10,2023
Sucursal,Credito_gold,Mexico,Viaje,24,145,7274.1,178.93,9,7,9,2.3,34.9,0.479,0,3,2023
App_movil,Debito,Colombia,Supermercado,74,126,1865.64,7.78,5,12,33,26.1,58.4,0.075,0,7,2023
Sucursal,Credito_clasica,Ecuador,Gasolinera,56,89,1752.62,61.05,5,4,33,2.4,87.1,0.625,0,11,2023
Banca_en_linea,Credito_clasica,Ecuador,Transferencia,36,61,4043.63,157.34,19,8,26,3.0,26.9,0.742,0,11,2023
Cajero_ATM,Credito_platinum,Ecuador,Gasolinera,23,15,4509.01,6.41,20,14,28,3.5,12.1,0.027,0,8,2023
Banca_en_linea,Credito_clasica,Ecuador,Supermercado,60,94,2221.33,10.03,1,2,44,14.6,55.9,0.083,0,5,2023
Banca_en_linea,Debito,Chile,Viaje,46,51,695.51,291.47,23,8,43,5.6,17.7,,0,4,2023
App_movil,Credito_gold,USA,Entretenimiento,60,27,1776.64,177.81,9,9,31,,61.0,1.799,1,8,2023
Cajero_ATM,Credito_clasica,Ecuador,Supermercado,56,74,8810.72,51.26,22,13,1,15.4,26.4,0.114,0,8,2023
Cajero_ATM,Credito_clasica,Panama,Farmacia,19,61,3695.78,179.69,5,8,20,26.5,23.1,0.922,0,3,2023
Banca_en_linea,Credito_clasica,Ecuador,Restaurante,36,31,4367.17,240.86,22,6,12,14.1,39.9,1.055,0,6,2023
Banca_en_linea,Credito_gold,Peru,Viaje,21,12,283.44,59.96,16,10,17,,59.3,2.481,0,5,2023
App_movil,Credito_clasica,Panama,Restaurante,23,46,1777.12,10.51,13,1,15,,54.5,0.106,0,2,2023
Banca_en_linea,Credito_clasica,Ecuador,Restaurante,66,159,2800.54,409.97,4,7,34,,24.5,2.733,0,8,2023
App_movil,Debito,USA,Transferencia,74,32,4630.37,68.51,22,1,16,50.7,89.1,0.284,0,12,2023
Banca_en_linea,Debito,Ecuador,Electronica,54,160,326.32,21.89,16,7,4,1.3,11.0,0.832,0,6,2023
App_movil,Debito,Ecuador,Ropa,45,61,4983.78,106.55,1,14,8,9.5,3.9,0.411,0,2,2023
Sucursal,Debito,Ecuador,Gasolinera,47,46,2187.4,224.46,8,2,34,2.2,60.3,1.88,0,12,2023
Banca_en_linea,Credito_clasica,Ecuador,Restaurante,24,85,749.48,42.59,11,8,46,3.0,12.3,0.897,0,5,2023
Sucursal,Credito_gold,Peru,Ropa,26,80,1154.09,52.1,18,2,25,13.7,50.5,0.77,0,1,2023
Banca_en_linea,Credito_clasica,Chile,Supermercado,42,135,1027.97,46.7,21,3,15,38.0,95.2,0.761,0,12,2023
Banca_en_linea,Credito_gold,Colombia,Gasolinera,50,4,2092.13,723.24,6,13,28,9.0,69.9,6.311,0,10,2023
POS,Credito_platinum,Panama,Restaurante,18,52,332.67,37.99,8,12,9,,61.7,1.426,0,6,2023
Cajero_ATM,Credito_gold,Panama,Viaje,68,159,631.53,133.53,20,3,2,0.1,57.5,3.212,0,12,2023
Cajero_ATM,Credito_gold,Ecuador,Otro,23,112,4387.52,394.07,15,1,17,0.4,18.0,1.718,0,9,2023
Sucursal,Credito_clasica,Ecuador,Otro,35,36,555.65,28.83,19,5,10,9.1,43.3,0.763,0,1,2023
Cajero_ATM,Credito_clasica,Ecuador,Electronica,27,54,864.46,535.32,10,5,9,4.9,34.3,10.058,0,11,2023
Sucursal,Debito,Peru,Restaurante,45,119,1709.96,446.98,11,10,31,22.1,95.3,4.681,1,11,2023
Banca_en_linea,Credito_clasica,Chile,Electronica,28,127,2019.97,328.87,14,5,2,3.6,24.2,2.963,0,10,2023
POS,Credito_platinum,Ecuador,Transferencia,50,17,3805.69,41.23,17,14,24,5.7,47.2,0.206,0,12,2023
App_movil,Credito_gold,USA,Restaurante,18,75,1682.5,155.79,18,13,19,7.5,93.8,1.655,1,12,2023
App_movil,Debito,Colombia,Otro,30,158,4100.01,219.63,15,9,17,3.2,78.9,1.022,0,3,2023
POS,Credito_clasica,Colombia,Gasolinera,54,105,2608.1,645.6,14,6,43,23.9,96.5,4.598,0,12,2023
Banca_en_linea,Credito_gold,Ecuador,Otro,37,150,500.06,34.85,4,6,49,6.2,,0.996,0,7,2023
POS,Debito,Ecuador,Transferencia,18,117,624.99,222.88,10,3,10,5.5,33.4,5.403,0,4,2023
Cajero_ATM,Credito_clasica,Ecuador,Entretenimiento,69,43,1636.34,67.06,14,5,28,19.0,82.7,0.73,0,9,2023
Banca_en_linea,Credito_gold,Ecuador,Restaurante,20,112,1464.14,33.97,17,10,38,3.7,29.1,0.408,0,3,2023
Banca_en_linea,Credito_clasica,Ecuador,Supermercado,35,115,3602.0,87.07,12,7,48,17.0,16.5,0.458,0,5,2023
App_movil,Debito,Colombia,Gasolinera,58,27,2373.14,241.86,3,3,28,1.3,70.6,1.88,0,3,2023
Cajero_ATM,Credito_clasica,Ecuador,Restaurante,31,37,1428.1,98.78,16,2,1,2.0,63.9,1.213,0,7,2023
Sucursal,Credito_gold,Panama,Supermercado,48,46,668.12,120.67,3,5,3,30.1,87.9,2.78,0,5,2023
Sucursal,Credito_clasica,Ecuador,Electronica,44,113,843.16,804.61,15,3,15,18.5,96.2,15.426,0,9,2023
POS,Debito,Peru,Gasolinera,34,35,2342.11,81.4,22,5,10,4.9,85.7,0.64,1,7,2023
Cajero_ATM,Credito_clasica,Ecuador,Ropa,72,132,1576.68,148.33,14,9,21,10.2,,1.67,0,2,2023
App_movil,Credito_clasica,Colombia,Ropa,63,80,2008.64,73.18,13,11,37,28.6,66.5,0.663,0,4,2023
Banca_en_linea,Credito_clasica,Chile,Supermercado,46,80,667.87,79.83,11,10,15,2.4,78.5,1.84,1,9,2023
Banca_en_linea,Credito_gold,Ecuador,Otro,53,154,2918.49,183.43,2,1,23,0.6,98.2,1.176,0,12,2023
Banca_en_linea,Debito,Ecuador,Restaurante,54,121,4985.47,421.82,9,4,14,7.7,37.5,1.627,0,2,2023
Banca_en_linea,Credito_gold,USA,Electronica,43,147,945.81,122.25,7,10,15,1.5,17.0,2.134,0,10,2023
App_movil,Debito,Ecuador,Electronica,70,122,1890.8,224.41,5,5,10,2.1,85.3,2.147,0,9,2023
App_movil,Credito_clasica,Ecuador,Entretenimiento,34,81,9475.5,19.02,21,2,9,22.2,31.7,0.039,0,10,2023
Banca_en_linea,Debito,Ecuador,Supermercado,39,173,1213.32,40.58,13,12,44,0.1,59.8,0.574,0,5,2023
Cajero_ATM,Credito_clasica,Ecuador,Electronica,42,154,2459.96,109.61,16,2,39,17.0,39.0,0.824,0,2,2023
Cajero_ATM,Credito_clasica,Colombia,Ropa,19,150,436.31,8.03,20,1,5,7.3,40.2,0.252,0,4,2023
Cajero_ATM,Credito_clasica,Ecuador,Restaurante,72,119,2528.61,48.72,18,14,25,8.2,73.2,0.357,0,12,2023
POS,Debito,Mexico,Ropa,39,58,434.77,114.29,15,8,42,11.1,36.1,3.601,0,12,2023
Cajero_ATM,Credito_clasica,USA,Transferencia,22,63,8199.86,7.26,14,2,26,,69.3,0.017,0,7,2023
Cajero_ATM,Debito,Peru,Otro,21,156,3343.98,51.09,14,3,8,1.2,1.4,0.288,0,12,2023
Banca_en_linea,Credito_gold,Colombia,Supermercado,53,172,4079.81,113.24,0,12,22,1.1,32.5,0.529,0,8,2023
Sucursal,Credito_platinum,Panama,Restaurante,23,100,3244.37,132.7,23,2,25,14.0,31.9,0.771,0,3,2023
POS,Debito,Ecuador,Restaurante,69,171,2427.34,395.05,22,4,48,2.5,74.9,3.007,0,1,2023
Sucursal,Credito_clasica,Panama,Gasolinera,38,165,1694.2,160.49,22,14,12,0.3,31.5,1.695,0,4,2023
App_movil,Credito_clasica,USA,Restaurante,30,66,5086.4,85.35,11,1,9,38.9,63.3,0.323,0,2,2023
App_movil,Debito,USA,Restaurante,71,145,8056.85,404.64,9,3,10,39.3,68.9,0.98,0,8,2023
Cajero_ATM,Credito_clasica,Colombia,Otro,54,168,1928.05,235.49,13,5,48,4.8,,2.213,0,4,2023
POS,Credito_gold,Ecuador,Transferencia,72,166,6903.58,38.47,9,10,10,0.3,60.3,0.108,0,2,2023
Sucursal,Credito_clasica,Ecuador,Supermercado,42,85,2388.67,26.03,9,1,9,13.0,,0.201,0,6,2023
App_movil,Debito,USA,Gasolinera,43,137,2132.56,173.96,19,4,26,,37.3,1.492,0,6,2023
Sucursal,Credito_gold,Ecuador,Gasolinera,72,144,1715.05,128.11,10,6,35,1.3,56.5,1.338,0,10,2023
App_movil,Credito_clasica,USA,Restaurante,56,123,787.05,238.86,21,4,27,1.5,6.4,4.84,0,4,2023
App_movil,Credito_gold,Ecuador,Ropa,37,2,209.32,206.37,15,7,31,17.3,87.6,10.084,0,6,2023
POS,Credito_clasica,Ecuador,Ropa,50,106,891.05,152.21,8,14,19,25.5,82.5,2.79,0,2,2023
POS,Credito_clasica,Ecuador,Transferencia,31,108,1981.96,649.46,14,7,43,15.6,,5.953,0,10,2023
App_movil,Debito,Ecuador,Viaje,73,72,1394.93,119.4,13,6,38,2.2,56.7,,0,12,2023
App_movil,Debito,Ecuador,Farmacia,53,171,1687.72,23.0,18,9,6,5.3,93.2,0.244,0,2,2023
Cajero_ATM,Credito_platinum,Ecuador,Ropa,34,126,10062.43,269.28,8,2,15,9.2,27.2,0.525,0,10,2023
App_movil,Debito,Argentina,Restaurante,38,170,1278.01,48.52,3,13,29,1.7,74.2,0.657,0,4,2023
Cajero_ATM,Credito_platinum,Colombia,Farmacia,63,57,1704.53,230.29,20,10,47,2.4,8.3,2.418,0,8,2023
